branch_code,city,gender,product_category,unit_price,quantity,total_price,gst,payment_method,rating,date,time,day
ALL_34,Allahabad,Female,Health & Wellness,988.76,8.0,7910.08,1423.81,Credit Card,4.3,2024-06-24,23:13:11,Monday
MEE_24,Meerut,Female,,833.55,1.0,833.55,150.04,,4.7,2025-01-18,05:33:07,Saturday
VAR_28,Varanasi,Female,Pet Supplies,242.48,4.0,969.92,174.59,Amazon Pay,2.2,2023-12-26,10:56:22,Tuesday
AGR_21,,Female,Household Items,755.21,1.0,755.21,135.94,Cash,3.1,2024-09-11,16:54:49,Wednesday
RAN_35,Ranchi,Male,Baby Products,393.99,,3545.91,638.26,Mobikwik,1.7,2024-09-25,15:08:41,Wednesday
BAN_04,Bangalore,Male,Bakery,898.12,,7184.96,1293.29,Amazon Pay,4.9,2024-05-16,08:56:11,Thursday
NAG_12,Nagpur,Male,Health & Wellness,306.02,,3060.2,550.84,Google Pay,2.3,,20:03:52,Tuesday
IND_13,Indore,Female,Bakery,251.19,10.0,2511.9,,PhonePe,3.9,2024-08-02,20:47:45,Friday
NOI_40,Noida,Male,Stationery,494.44,8.0,3955.52,711.99,Debit Card,,2024-10-05,19:03:38,Saturday
VAD_18,Vadodara,,Personal Care,141.09,2.0,282.18,50.79,Mobikwik,4.6,2024-12-23,23:37:31,
VAS_27,Vasai,Female,Sports Equipment,77.5,10.0,775.0,139.5,Amazon Pay,1.2,2025-04-17,05:16:50,Thursday
FAR_23,Faridabad,Female,Health & Wellness,908.87,5.0,4544.35,817.98,Credit Card,3.0,2024-07-31,23:23:04,Wednesday
HOW_36,Howrah,,Personal Care,161.33,3.0,483.99,,PhonePe,1.0,2025-03-23,08:16:10,Sunday
JAB_38,Jabalpur,Female,Baby Products,10211.04,,7658.28,1378.49,,2.6,2025-04-19,,Saturday
PAT_17,Patna,Male,Fruits & Vegetables,748.9,10.0,7489.0,1348.02,Mobikwik,3.8,2023-07-29,12:51:28,Saturday
BHO_15,Bhopal,Female,,937.79,4.0,3751.16,675.21,Google Pay,1.4,2025-04-03,,Thursday
DEL_00,Delhi,Female,Home Decor,817.84,10.0,8178.4,1472.11,,2.3,2025-06-22,14:16:54,Sunday
MUM_01,Mumbai,Female,Stationery,29.17,1.0,29.17,5.25,Cash,2.1,2025-06-15,13:04:02,Sunday
COI_37,Coimbatore,Male,Frozen Foods,531.5,6.0,3189.0,574.02,Mobikwik,2.7,2023-09-28,08:37:03,
NAS_22,Nashik,Male,Clothing,861.87,1.0,861.87,155.14,Amazon Pay,1.6,2025-06-19,10:34:41,Thursday
FAR_23,Faridabad,Female,Baby Products,151.14,7.0,1057.98,190.44,Amazon Pay,2.8,,18:32:02,
HOW_36,Howrah,Male,Baby Products,758.92,6.0,4553.52,,Google Pay,4.3,2023-10-16,23:47:05,Monday
HYD_05,Hyderabad,Female,Household Items,,8.0,2332.0,419.76,Credit Card,4.4,2024-01-14,,Sunday
SOL_46,Solapur,Female,Beverages,657.76,7.0,4604.32,828.78,Amazon Pay,4.7,2024-06-16,10:20:29,Sunday
,Srinagar,Female,Stationery,904.32,4.0,3617.28,651.11,Mobikwik,4.4,2023-12-03,17:49:02,Sunday
KAN_11,Kanpur,Female,Clothing,73.77,4.0,295.08,53.11,Debit Card,4.6,2024-06-18,09:10:50,Tuesday
VAS_27,Vasai,Female,Health & Wellness,692.54,2.0,1385.08,249.31,PhonePe,3.9,2024-02-23,07:25:13,Friday
HOW_36,Howrah,Male,Baby Products,128.44,3.0,385.32,69.36,Credit Card,2.3,2023-11-23,18:27:38,Thursday
COI_37,Coimbatore,Male,Dairy Products,601.97,5.0,3009.85,541.77,Amazon Pay,4.5,2024-07-26,22:23:56,Friday
HUB_47,,Male,Baby Products,584.55,9.0,5260.95,,Credit Card,1.3,2023-07-28,00:27:05,Friday
,Ahmedabad,Female,Bakery,242.1,3.0,726.3,130.73,Debit Card,1.7,2025-06-04,09:10:28,Wednesday
ALL_34,Allahabad,Male,,834.81,,4174.05,751.33,Paytm,4.3,2025-01-01,08:30:46,Wednesday
DEL_00,Delhi,Male,Household Items,551.95,6.0,3311.7,596.11,Debit Card,1.5,2025-01-30,09:33:21,Thursday
CHA_45,Chandigarh,Female,,789.87,1.0,789.87,142.18,PhonePe,3.7,2024-12-08,10:29:35,Sunday
RAI_43,Raipur,,Household Items,9062.64,28.0,1510.44,271.88,Debit Card,2.9,2023-09-22,04:47:46,Friday
AHM_06,Ahmedabad,Female,Household Items,77.23,1.0,77.23,13.9,Amazon Pay,3.6,2024-01-02,05:05:11,Tuesday
THA_14,Thane,Female,Clothing,473.73,1.0,473.73,85.27,Google Pay,3.5,2023-10-18,12:46:54,Wednesday
SOL_46,Solapur,Male,Stationery,805.11,4.0,,579.68,Cash,2.7,2024-02-26,23:08:19,Monday
JAI_08,Jaipur,Male,Beverages,,8.0,3377.52,607.95,Amazon Pay,2.2,2024-12-02,11:30:35,Monday
THA_14,Thane,Male,Dairy Products,84.24,1.0,84.24,15.16,PhonePe,3.2,2024-08-21,07:23:04,Wednesday
SOL_46,Solapur,Female,Bakery,351.02,5.0,1755.1,315.92,Paytm,2.6,2023-12-03,06:09:32,Sunday
SRI_29,Srinagar,Female,Health & Wellness,328.39,3.0,985.17,177.33,Amazon Pay,5.0,2024-12-07,02:47:38,Saturday
COI_37,,,Stationery,578.04,7.0,4046.28,728.33,Cash,2.3,2023-12-13,15:58:24,Wednesday
MUM_01,Mumbai,Male,Electronics,,1.0,,,,1.5,2023-12-01,03:45:27,Friday
GWA_39,Gwalior,Male,Health & Wellness,603.91,7.0,4227.37,760.93,PhonePe,4.5,2024-09-16,04:32:27,Monday
KOL_02,Kolkata,Female,Beverages,202.81,2.0,405.62,73.01,Paytm,3.5,2025-04-03,20:12:27,Thursday
JAB_38,Jabalpur,Male,Stationery,443.44,3.0,1330.32,239.46,Credit Card,4.6,2024-02-01,20:18:43,Thursday
PUN_07,Pune,Female,Pet Supplies,795.08,6.0,4770.48,858.69,PhonePe,1.3,2023-07-23,16:23:47,Sunday
LUD_20,Ludhiana,Male,Electronics,124.45,1.0,124.45,,Mobikwik,2.3,,16:55:37,Saturday
AGR_21,Agra,Male,Personal Care,446.62,9.0,4019.58,723.52,Cash,1.1,2024-10-27,21:12:49,Sunday
LUD_20,Ludhiana,Male,Sports Equipment,617.61,2.0,1235.22,222.34,Debit Card,4.0,2023-11-10,16:51:00,Friday
DEL_00,Delhi,Female,Fruits & Vegetables,705.98,5.0,3529.9,635.38,Amazon Pay,2.2,2025-02-14,22:09:34,Friday
ALL_34,Allahabad,Male,Frozen Foods,7219.200000000001,,6016.0,1082.88,Credit Card,,2024-12-13,12:27:49,Friday
SRI_29,Srinagar,Female,Household Items,418.82,10.0,4188.2,753.88,PhonePe,1.3,2025-01-23,08:14:30,Thursday
DHA_31,Dhanbad,Female,Household Items,,4.0,1839.0,331.02,Google Pay,2.0,2024-05-12,18:08:29,Sunday
,Pune,Male,Baby Products,,6.0,5258.88,946.6,Google Pay,2.2,2025-06-14,02:13:34,Saturday
PAT_17,Patna,Male,Electronics,289.73,4.0,1158.92,208.61,PhonePe,4.2,2024-08-30,12:12:20,Friday
KAL_26,Kalyan,,Sports Equipment,342.66,7.0,2398.62,431.75,Debit Card,1.7,2024-02-18,20:14:55,Sunday
PUN_07,Pune,Male,Personal Care,149.06,1.0,149.06,26.83,PhonePe,4.0,2025-05-05,05:58:33,Monday
,Madurai,Female,Sports Equipment,388.55,7.0,,489.57,,1.8,2025-05-23,10:04:54,
HYD_05,Hyderabad,Female,Stationery,1040.76,126.0,780.57,140.5,,3.6,2024-06-02,09:28:00,Sunday
IND_13,Indore,Female,Beverages,643.52,2.0,1287.04,231.67,Mobikwik,2.9,2024-05-11,08:57:47,Saturday
NAV_33,Navi Mumbai,Female,Fruits & Vegetables,534.78,2.0,1069.56,192.52,Cash,2.8,2024-09-10,15:48:24,Tuesday
VAS_27,Vasai,Female,Household Items,592.48,3.0,1777.44,319.94,Credit Card,2.9,2025-06-27,20:14:19,
MEE_24,Meerut,Female,Beverages,368.35,6.0,2210.1,397.82,Paytm,3.3,2023-12-10,04:32:09,Sunday
HYD_05,,Female,Snacks,,4.0,626.48,112.77,Credit Card,3.1,2024-10-22,22:22:25,Tuesday
SUR_09,Surat,Male,Beverages,898.72,4.0,3594.88,647.08,Google Pay,4.5,2024-02-11,22:48:05,Sunday
CHA_45,Chandigarh,Male,Fruits & Vegetables,614.14,3.0,1842.42,331.64,Amazon Pay,3.3,2025-05-31,01:03:13,Saturday
AMR_32,Amritsar,Male,Sports Equipment,495.52,6.0,2973.12,535.16,Debit Card,2.1,2023-10-06,14:38:37,Friday
FAR_23,Faridabad,Female,Bakery,784.02,7.0,5488.14,987.87,Credit Card,1.0,2025-01-03,22:30:03,Friday
GWA_39,Gwalior,Female,Bakery,955.12,9.0,8596.08,1547.29,Cash,3.8,2024-02-21,20:26:43,Wednesday
,Jaipur,Female,Pet Supplies,857.35,5.0,4286.75,771.62,Debit Card,1.2,2024-07-06,11:12:59,Saturday
KOL_02,Kolkata,Female,Electronics,165.01,10.0,1650.1,297.02,Mobikwik,3.5,2023-08-19,20:16:06,Saturday
KAL_26,Kalyan,Female,Frozen Foods,980.37,8.0,7842.96,1411.73,Amazon Pay,4.2,2024-04-08,22:26:50,Monday
CHA_45,Chandigarh,Male,Frozen Foods,416.07,1.0,416.07,74.89,,2.4,2024-01-26,23:08:06,Friday
NAG_12,Nagpur,Male,Personal Care,618.67,2.0,1237.34,222.72,PhonePe,2.3,2025-07-19,16:38:08,Saturday
JOD_41,Jodhpur,,Sports Equipment,49.01,9.0,441.09,79.4,,3.9,2024-08-14,,Wednesday
PAT_17,,Female,Fruits & Vegetables,375.55,1.0,375.55,67.6,Mobikwik,4.7,2023-07-20,13:39:28,Thursday
THA_14,Thane,Male,Electronics,701.61,6.0,4209.66,757.74,,4.5,2023-07-23,14:21:29,Sunday
CHA_45,Chandigarh,Female,Bakery,497.79,2.0,995.58,179.2,PhonePe,3.3,2024-01-23,20:23:09,
VAD_18,Vadodara,Female,Electronics,468.14,1.0,468.14,84.27,Credit Card,1.7,2023-10-02,14:05:06,Monday
SOL_46,Solapur,Female,Snacks,429.2,3.0,1287.6,231.77,Paytm,4.9,2024-04-25,17:06:09,Thursday
RAI_43,Raipur,Female,,966.1,3.0,2898.3,521.69,Google Pay,4.4,,20:25:11,Wednesday
MAD_42,Madurai,Female,Dairy Products,932.42,8.0,7459.36,1342.68,Credit Card,3.6,2023-12-07,07:37:18,Thursday
LUD_20,Ludhiana,Female,Snacks,492.74,4.0,1970.96,354.77,Credit Card,2.2,2024-01-13,00:53:28,Saturday
HOW_36,Howrah,Female,Sports Equipment,928.72,3.0,2786.16,501.51,Paytm,2.3,2023-12-01,09:23:42,Friday
MUM_01,Mumbai,Male,Baby Products,58.85,7.0,411.95,74.15,Mobikwik,4.3,2024-08-19,13:17:39,Monday
NOI_40,Noida,Female,Pet Supplies,157.8,4.0,631.2,113.62,Cash,3.8,2025-07-06,16:35:02,Sunday
MEE_24,,Female,Health & Wellness,212.88,4.0,851.52,153.27,Google Pay,1.4,2025-06-21,20:45:57,Saturday
THA_14,Thane,Male,Baby Products,957.39,5.0,4786.95,,Amazon Pay,1.2,2023-12-27,,Wednesday
AUR_30,Aurangabad,Male,Home Decor,850.92,8.0,6807.36,,Cash,2.7,2025-06-12,08:59:19,Thursday
VIS_16,Visakhapatnam,Male,Dairy Products,679.98,9.0,6119.82,1101.57,Credit Card,3.8,2024-09-24,14:48:56,Tuesday
AMR_32,Amritsar,Male,Beverages,812.77,4.0,3251.08,585.19,PhonePe,3.9,,06:44:57,Friday
GUW_44,Guwahati,Female,Snacks,49.54,8.0,396.32,71.34,,4.0,,13:43:02,Thursday
JOD_41,Jodhpur,Female,Fruits & Vegetables,985.76,3.0,2957.28,532.31,Credit Card,4.2,2025-06-22,02:53:27,Sunday
BHO_15,Bhopal,Female,Bakery,195.76,9.0,1761.84,317.13,Debit Card,3.4,2024-08-06,19:29:17,Tuesday
SUR_09,Surat,Male,,526.89,4.0,2107.56,379.36,PhonePe,1.9,2025-07-01,12:24:00,Tuesday
VAD_18,Vadodara,Male,,102.57,6.0,615.42,110.78,PhonePe,2.7,2025-06-26,14:49:20,Thursday
KAN_11,Kanpur,Male,Electronics,939.18,6.0,,1014.31,Credit Card,4.8,2023-11-11,18:48:51,Saturday
HUB_47,Hubli–Dharwad,Female,Snacks,434.16,1.0,434.16,78.15,Debit Card,2.7,2024-04-18,13:28:47,Thursday
BAN_04,Bangalore,Female,Home Decor,428.41,2.0,856.82,154.23,Credit Card,1.2,2024-08-16,17:25:48,Friday
CHE_03,Chennai,Female,Beverages,161.35,7.0,1129.45,203.3,Credit Card,1.7,2024-04-06,05:18:42,Saturday
NOI_40,Noida,Male,Bakery,971.11,8.0,7768.88,1398.4,Mobikwik,3.6,2024-04-18,05:44:26,Thursday
RAI_43,Raipur,Female,Health & Wellness,856.88,3.0,2570.64,462.72,Mobikwik,3.0,2025-05-07,09:27:52,Wednesday
GWA_39,Gwalior,Male,Fruits & Vegetables,274.73,2.0,549.46,98.9,Credit Card,3.6,2025-04-12,18:44:41,Saturday
JOD_41,Jodhpur,Female,Stationery,625.31,7.0,4377.17,787.89,Google Pay,1.3,2024-04-10,08:36:47,Wednesday
DHA_31,Dhanbad,Male,Home Decor,609.9,2.0,1219.8,219.56,,3.1,2024-06-13,05:03:55,Thursday
SUR_09,Surat,Female,Pet Supplies,314.29,9.0,2828.61,509.15,Google Pay,1.5,2025-07-09,17:22:05,Wednesday
JOD_41,Jodhpur,Male,Pet Supplies,115.57,9.0,1040.13,187.22,Debit Card,4.5,2024-04-27,06:04:09,Saturday
RAJ_25,Rajkot,Male,Electronics,954.44,3.0,2863.32,515.4,Amazon Pay,3.7,2024-10-27,13:30:42,Sunday
GHA_19,Ghaziabad,Male,Bakery,101.14,8.0,809.12,145.64,Google Pay,3.4,2024-09-29,01:07:30,Sunday
,Nashik,Female,Fruits & Vegetables,604.64,3.0,,326.51,Amazon Pay,3.0,2024-03-31,20:08:49,Sunday
NAG_12,Nagpur,Male,Baby Products,664.76,9.0,5982.84,,,1.2,,10:58:43,Sunday
AGR_21,Agra,Female,Electronics,151.35,5.0,756.75,136.22,Google Pay,3.7,2024-08-17,09:03:26,Saturday
SUR_09,Surat,Female,Dairy Products,101.91,2.0,203.82,36.69,Credit Card,3.1,2025-05-12,14:04:02,Monday
HOW_36,Howrah,Female,Dairy Products,,2.0,771.54,138.88,Cash,,2023-10-16,07:11:34,Monday
CHA_45,Chandigarh,Male,Beverages,944.75,4.0,,680.22,Cash,3.1,2024-01-19,19:36:25,Friday
JAI_08,Jaipur,Male,Beverages,344.36,6.0,2066.16,371.91,PhonePe,,2025-06-29,01:37:49,Sunday
GUW_44,Guwahati,Female,Household Items,398.15,7.0,2787.05,501.67,PhonePe,1.5,2024-07-17,03:15:39,Wednesday
LUD_20,Ludhiana,Female,Personal Care,440.74,6.0,2644.44,,Amazon Pay,1.4,2024-10-17,05:38:52,Thursday
ALL_34,Allahabad,Female,Electronics,556.53,,1113.06,200.35,Google Pay,1.6,2023-08-31,01:19:52,Thursday
HOW_36,Howrah,Male,Dairy Products,936.15,5.0,4680.75,842.53,Google Pay,3.4,2023-09-18,17:08:54,Monday
RAN_35,Ranchi,Male,Stationery,367.12,9.0,3304.08,594.73,Mobikwik,4.9,2024-12-06,03:47:11,Friday
AUR_30,Aurangabad,Male,Baby Products,777.05,5.0,3885.25,699.35,Paytm,3.2,2023-11-04,13:06:20,Saturday
BAN_04,Bangalore,Female,Clothing,561.02,8.0,4488.16,807.87,Credit Card,4.5,2024-01-13,18:59:42,Saturday
GHA_19,Ghaziabad,Male,Bakery,,8.0,6803.68,,Cash,2.4,2023-08-01,17:17:43,Tuesday
PAT_17,Patna,Male,Household Items,284.31,2.0,568.62,102.35,Google Pay,3.2,,21:13:45,Monday
NAG_12,Nagpur,Male,Snacks,698.54,5.0,3492.7,628.69,Credit Card,2.6,2023-09-18,16:42:12,Monday
NAS_22,Nashik,Male,Electronics,628.12,10.0,6281.2,1130.62,Debit Card,2.6,2025-07-15,01:14:03,Tuesday
VAR_28,Varanasi,Male,Personal Care,,8.0,4418.96,795.41,Paytm,1.6,2025-05-19,16:23:51,Monday
PUN_07,Pune,Female,Snacks,794.78,6.0,4768.68,858.36,,1.8,2023-11-05,06:22:42,Sunday
IND_13,Indore,Female,Home Decor,862.76,,1725.52,310.59,Credit Card,1.6,2025-05-17,00:58:44,Saturday
GUW_44,Guwahati,Male,Health & Wellness,96.89,6.0,581.34,104.64,Paytm,1.8,2024-06-15,22:46:47,Saturday
BAN_04,Bangalore,Female,Health & Wellness,505.57,9.0,4550.13,819.02,Debit Card,3.4,,19:55:17,Friday
HOW_36,Howrah,Male,Dairy Products,827.83,9.0,7450.47,1341.08,Paytm,2.2,,12:03:25,Saturday
RAJ_25,Rajkot,Female,Stationery,882.71,3.0,2648.13,476.66,Credit Card,1.9,2024-11-18,18:11:41,Monday
VAR_28,Varanasi,Female,Snacks,87.76,9.0,789.84,142.17,Paytm,4.3,2024-11-28,22:49:34,Thursday
GWA_39,Gwalior,Female,Baby Products,932.03,1.0,932.03,167.77,Cash,3.7,2024-01-10,,Wednesday
LUD_20,Ludhiana,,Electronics,793.88,6.0,4763.28,,PhonePe,2.6,2024-05-09,07:23:41,Thursday
GWA_39,Gwalior,Male,Health & Wellness,394.38,6.0,2366.28,425.93,Debit Card,3.2,2025-04-04,14:02:18,Friday
KAL_26,Kalyan,Female,Sports Equipment,252.92,5.0,1264.6,227.63,Google Pay,2.4,2024-01-06,20:47:57,Saturday
JAI_08,Jaipur,Male,Health & Wellness,827.26,8.0,6618.08,1191.25,Credit Card,4.6,2023-10-24,03:05:01,Tuesday
AUR_30,,Female,Health & Wellness,208.86,7.0,1462.02,263.16,Amazon Pay,2.3,2023-08-27,09:15:20,Sunday
DEL_00,Delhi,Female,Pet Supplies,,5.0,2313.65,416.46,Credit Card,1.6,2024-04-02,04:37:33,Tuesday
GHA_19,Ghaziabad,Female,Frozen Foods,692.7,2.0,1385.4,249.37,,4.5,2025-01-15,17:54:19,Wednesday
LUC_10,Lucknow,Male,Pet Supplies,677.5,9.0,6097.5,1097.55,PhonePe,5.0,2024-10-25,23:28:15,Friday
,Kalyan,Female,Sports Equipment,66.32,1.0,66.32,11.94,Credit Card,4.5,2024-03-02,14:23:32,Saturday
HOW_36,Howrah,Female,Health & Wellness,715.18,1.0,715.18,128.73,PhonePe,2.3,2025-06-27,19:04:08,Friday
MEE_24,Meerut,Male,Snacks,216.24,1.0,216.24,38.92,Cash,4.2,2025-04-05,18:19:08,
LUC_10,Lucknow,Female,Pet Supplies,305.57,10.0,3055.7,550.03,Debit Card,2.1,2024-01-30,18:50:27,Tuesday
HYD_05,Hyderabad,Male,Frozen Foods,950.51,,8554.59,1539.83,Cash,2.0,2024-02-25,16:27:49,Sunday
CHA_45,Chandigarh,Male,,75.64,8.0,605.12,108.92,Google Pay,2.1,2024-01-19,21:58:36,Friday
KAN_11,Kanpur,Female,Household Items,49.96,1.0,49.96,8.99,Mobikwik,2.8,2024-07-16,01:04:01,Tuesday
HYD_05,Hyderabad,Male,Baby Products,340.48,9.0,3064.32,551.58,Cash,4.3,2024-05-20,02:10:03,Monday
SOL_46,Solapur,Female,Dairy Products,631.7,1.0,631.7,113.71,Paytm,3.8,2023-08-11,14:34:18,Friday
AHM_06,Ahmedabad,Male,Pet Supplies,85.93,5.0,429.65,77.34,Credit Card,2.3,2023-08-22,03:45:16,Tuesday
JAI_08,Jaipur,Male,Clothing,768.54,8.0,6148.32,1106.7,Credit Card,,2023-08-25,23:02:00,Friday
MEE_24,Meerut,Female,Beverages,6332.88,98.0,3694.18,,Debit Card,4.6,2023-12-28,08:01:51,Thursday
BHO_15,Bhopal,Female,Household Items,364.67,1.0,364.67,65.64,Mobikwik,2.4,2024-01-27,04:45:13,Saturday
RAJ_25,Rajkot,Female,,650.63,4.0,2602.52,468.45,Amazon Pay,1.1,2025-07-07,00:02:24,Monday
MUM_01,,Male,Snacks,721.43,4.0,2885.72,519.43,Amazon Pay,4.8,2023-09-28,20:17:43,Thursday
,Varanasi,Male,Stationery,653.11,8.0,5224.88,940.48,Google Pay,2.0,2025-02-15,12:37:33,Saturday
IND_13,Indore,Female,Personal Care,558.43,8.0,,804.14,PhonePe,2.2,2024-06-14,04:48:33,Friday
KAL_26,Kalyan,Female,Health & Wellness,345.76,1.0,345.76,62.24,PhonePe,2.0,2025-07-07,05:59:48,Monday
PUN_07,Pune,Male,Beverages,,9.0,8185.41,1473.37,PhonePe,1.1,2025-03-06,05:49:56,Thursday
AUR_30,Aurangabad,Female,Stationery,963.73,5.0,4818.65,867.36,Amazon Pay,4.3,2024-02-16,09:26:55,Friday
PUN_07,Pune,Male,Snacks,300.14,7.0,2100.98,,,4.9,2024-11-26,09:20:06,Tuesday
RAJ_25,Rajkot,Male,Bakery,106.47,10.0,1064.7,191.65,Mobikwik,2.2,2025-07-03,05:35:03,Thursday
SOL_46,Solapur,Male,Baby Products,3222.0,42.0,805.5,144.99,Debit Card,2.5,2024-12-14,19:32:08,Saturday
SUR_09,Surat,Male,Dairy Products,732.05,5.0,3660.25,658.85,,2.8,2024-10-28,10:12:55,Monday
HOW_36,Howrah,Female,Clothing,322.33,7.0,2256.31,406.14,PhonePe,3.1,2024-04-10,21:52:19,Wednesday
BAN_04,,Female,Fruits & Vegetables,661.95,1.0,661.95,119.15,Credit Card,3.4,2024-02-21,23:33:36,Wednesday
CHA_45,Chandigarh,Male,Stationery,151.09,2.0,302.18,54.39,Cash,2.5,2025-03-11,07:41:24,Tuesday
KOL_02,Kolkata,Female,Personal Care,135.07,1.0,135.07,24.31,Paytm,3.7,2025-03-15,11:50:26,Saturday
,Chennai,Male,Sports Equipment,925.33,,8327.97,1499.03,Mobikwik,1.2,2024-07-11,15:37:02,Thursday
KOL_02,Kolkata,Male,Household Items,3676.44,140.0,,551.47,Amazon Pay,2.6,2025-01-22,01:55:09,Wednesday
AUR_30,Aurangabad,Male,,561.71,3.0,1685.13,303.32,PhonePe,2.0,2025-05-02,02:04:31,Friday
AGR_21,Agra,,Frozen Foods,310.01,,620.02,111.6,Credit Card,4.6,2025-04-01,08:07:56,Tuesday
SOL_46,Solapur,Male,Frozen Foods,56.02,5.0,280.1,50.42,Credit Card,3.7,2025-04-14,,Monday
MAD_42,Madurai,Female,Household Items,759.81,4.0,3039.24,547.06,,1.9,2024-08-08,04:17:10,Thursday
RAN_35,Ranchi,Male,Health & Wellness,666.53,6.0,3999.18,719.85,Debit Card,2.6,2024-01-20,08:59:21,Saturday
VIS_16,Visakhapatnam,Female,Beverages,887.43,8.0,7099.44,1277.9,Mobikwik,,2025-07-12,13:47:14,Saturday
VIS_16,Visakhapatnam,Male,Clothing,868.28,1.0,868.28,156.29,Amazon Pay,3.0,2024-12-16,19:06:03,Monday
MEE_24,Meerut,Female,Beverages,153.96,2.0,307.92,55.43,Debit Card,1.9,2024-04-19,06:59:24,Friday
NAG_12,Nagpur,Female,Baby Products,,10.0,4735.0,852.3,Mobikwik,2.6,2023-11-20,21:13:37,Monday
JAB_38,Jabalpur,Male,Personal Care,385.35,9.0,3468.15,624.27,Paytm,3.9,2024-12-18,09:56:06,Wednesday
GUW_44,Guwahati,Female,Bakery,883.9,7.0,6187.3,1113.71,Mobikwik,3.0,2024-12-16,04:32:33,Monday
KAN_11,Kanpur,Female,Household Items,749.62,8.0,5996.96,1079.45,Amazon Pay,1.5,2024-11-11,05:25:50,Monday
KAN_11,Kanpur,Female,Baby Products,478.84,10.0,4788.4,861.91,Cash,2.9,2024-09-24,07:48:33,Tuesday
GUW_44,Guwahati,Female,Home Decor,404.65,8.0,3237.2,582.7,Paytm,1.1,2025-02-13,05:44:09,Thursday
SRI_29,Srinagar,Female,Health & Wellness,264.88,3.0,794.64,143.04,Mobikwik,2.5,2024-07-24,15:05:03,Wednesday
NOI_40,Noida,Male,Frozen Foods,516.43,7.0,3615.01,650.7,PhonePe,4.4,2024-08-20,13:29:11,
DHA_31,Dhanbad,Male,Bakery,363.82,1.0,363.82,65.49,Mobikwik,3.7,2025-01-25,00:07:29,Saturday
ALL_34,Allahabad,Female,Dairy Products,402.58,6.0,2415.48,434.79,Google Pay,2.3,2025-04-16,16:11:12,Wednesday
DHA_31,Dhanbad,Male,Stationery,313.15,9.0,2818.35,507.3,PhonePe,2.4,2025-06-17,19:00:19,Tuesday
NAG_12,Nagpur,,Pet Supplies,611.29,6.0,3667.74,,Credit Card,4.4,2025-02-23,04:46:23,Sunday
VAS_27,Vasai,Female,,365.7,6.0,2194.2,394.96,PhonePe,1.6,2024-02-04,06:36:59,Sunday
COI_37,Coimbatore,,Dairy Products,493.3,1.0,493.3,88.79,Paytm,4.1,2023-12-30,02:28:35,Saturday
,Coimbatore,Male,Frozen Foods,717.27,4.0,2869.08,516.43,Credit Card,3.9,2024-09-29,05:51:30,
