Unnamed: 0,branch_code,city,gender,product_category,unit_price,quantity,total_price,gst,payment_method,rating,date,time,day
173,VAD_18,Vadodara,Male,Bakery,254.87,9.0,2293.83,412.89,Google Pay,1.0,2023-12-13,14:35:38,Wednesday
174,GWA_39,Gwalior,Female,Baby Products,,9.0,8534.16,1536.15,Paytm,3.5,2025-04-03,02:28:36,Thursday
175,MAD_42,Madurai,Male,Fruits & Vegetables,,1.0,90.31,16.26,Debit Card,3.9,2025-06-12,18:10:04,
176,RAN_35,Ranchi,Male,Home Decor,875.49,8.0,7003.92,1260.71,PhonePe,1.6,2024-01-16,14:18:38,Tuesday
177,NAV_33,Navi Mumbai,Female,Beverages,65.97,4.0,263.88,47.5,Paytm,3.5,2023-09-28,07:27:08,Thursday
178,NAS_22,Nashik,Male,Household Items,375.6,8.0,3004.8,540.86,Mobikwik,1.2,2024-09-16,10:08:47,Monday
179,BAN_04,Bangalore,,Stationery,667.89,2.0,1335.78,240.44,Credit Card,3.6,2023-11-21,05:42:35,Tuesday
180,PAT_17,Patna,Female,Bakery,88.77,,266.31,47.94,Cash,3.8,2024-12-14,14:27:15,Saturday
181,SUR_09,Surat,Female,Personal Care,736.71,8.0,5893.68,1060.86,Cash,1.6,2023-08-04,12:25:20,Friday
182,COI_37,Coimbatore,Male,Beverages,527.78,10.0,5277.8,950.0,Paytm,2.2,2023-08-11,14:05:37,Friday
183,JOD_41,Jodhpur,Female,Clothing,717.16,1.0,717.16,129.09,Mobikwik,3.5,2025-07-03,08:37:35,Thursday
184,FAR_23,Faridabad,,Fruits & Vegetables,867.98,9.0,7811.82,1406.13,Paytm,4.7,2024-01-14,05:53:06,Sunday
185,PAT_17,Patna,Male,Bakery,132.07,4.0,528.28,,Google Pay,,2024-01-12,14:42:43,Friday
186,AGR_21,Agra,Female,Snacks,590.86,1.0,590.86,,Debit Card,4.9,2025-05-13,04:23:02,Tuesday
187,BAN_04,Bangalore,Male,Snacks,,1.0,,81.87,Mobikwik,2.1,2024-03-16,17:50:08,Saturday
188,MEE_24,Meerut,Female,Pet Supplies,809.15,4.0,3236.6,582.59,Mobikwik,3.1,2024-12-10,04:57:45,Tuesday
189,THA_14,Thane,Male,Beverages,967.05,10.0,9670.5,1740.69,Google Pay,,2024-11-25,11:44:45,Monday
190,SOL_46,Solapur,Female,Health & Wellness,327.74,1.0,327.74,58.99,Amazon Pay,5.0,2024-03-04,16:53:12,Monday
191,,Thane,Female,Household Items,507.3,3.0,1521.9,273.94,Google Pay,1.5,2025-01-06,07:33:55,Monday
192,RAI_43,Raipur,Female,Health & Wellness,305.75,5.0,1528.75,275.18,Mobikwik,2.2,2023-12-22,00:19:51,Friday
193,HYD_05,Hyderabad,Female,Electronics,280.88,10.0,2808.8,505.58,Paytm,1.4,2025-04-11,20:48:06,Friday
194,THA_14,Thane,Male,Dairy Products,713.42,3.0,2140.26,385.25,Paytm,2.2,2025-06-11,15:22:00,Wednesday
195,CHA_45,Chandigarh,Female,Stationery,585.34,4.0,2341.36,421.44,PhonePe,,2023-08-08,16:38:28,Tuesday
196,RAN_35,Ranchi,Male,Snacks,979.4,9.0,8814.6,1586.63,Paytm,,2024-01-23,06:40:06,Tuesday
197,KAN_11,Kanpur,Female,Health & Wellness,2396.04,84.0,1198.02,215.64,,2.2,,20:02:16,Tuesday
198,JAB_38,Jabalpur,Female,Pet Supplies,799.54,9.0,7195.86,1295.25,PhonePe,3.4,2023-11-18,04:17:37,Saturday
199,SOL_46,Solapur,Male,Beverages,720.22,2.0,1440.44,259.28,Amazon Pay,3.0,2023-10-23,00:58:48,Monday
200,COI_37,,Male,Frozen Foods,,6.0,3234.9,582.28,Credit Card,1.9,2024-04-02,19:02:00,Tuesday
201,LUC_10,Lucknow,Male,Pet Supplies,945.55,7.0,6618.85,1191.39,Cash,4.6,2024-07-31,14:37:38,Wednesday
202,RAJ_25,Rajkot,Male,Electronics,31.12,6.0,186.72,33.61,Mobikwik,3.0,2024-06-06,10:34:15,Thursday
203,CHA_45,Chandigarh,Male,Snacks,797.24,3.0,2391.72,430.51,Credit Card,4.9,2024-02-01,05:21:29,Thursday
204,AUR_30,Aurangabad,Female,Snacks,747.25,7.0,5230.75,941.53,Google Pay,3.9,2025-06-17,12:20:21,Tuesday
205,MAD_42,Madurai,Female,Home Decor,919.66,7.0,6437.62,1158.77,Amazon Pay,3.3,2025-01-23,20:41:17,Thursday
206,DEL_00,Delhi,Female,,879.41,9.0,,1424.64,Paytm,3.6,2025-06-13,20:14:52,
207,HYD_05,Hyderabad,Female,Pet Supplies,432.9,4.0,1731.6,311.69,PhonePe,1.6,2023-08-10,00:54:07,
208,MEE_24,Meerut,,Health & Wellness,430.08,2.0,860.16,154.83,PhonePe,3.9,2025-02-26,03:22:56,Wednesday
209,IND_13,Indore,Female,Household Items,417.89,1.0,417.89,75.22,Mobikwik,3.8,2025-04-12,00:45:11,Saturday
210,SOL_46,Solapur,Female,Beverages,,8.0,3212.32,578.22,Debit Card,1.1,2023-08-16,03:20:40,Wednesday
